release_partition,use_for_training,exclusion_reason,anchor_compound,anchor_source,pubchem_cid,compound_name,SMILES,tanimoto_to_anchor,pubchem_bioassay_count,atp_synthase_activity,antibacterial_activity,link,notes
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,59002657,"[7-(Dimethylamino)-5a,9a,10,10a-tetrahydrophenothiazin-3-ylidene]-dimethylazanium",CN(C)C1=CC2C(C=C1)NC3C=CC(=[N+](C)C)C=C3S2,0.093,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/59002657,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,129238645,"[(1E)-2-methyl-3-(methylamino)buta-1,3-dienyl] 2-[butyl-(2-ethyl-1,2-dihydropyridin-6-yl)amino]ethanimidothioate",CCCCN(CC(=N)S/C=C(\C)/C(=C)NC)C1=CC=CC(N1)CC,0.091,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/129238645,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,134390188,"1-[3-[fluoro-(4-methylcyclohexa-1,5-dien-1-yl)methyl]-2H-pyrrol-5-yl]-N-(thiolan-3-ylmethyl)ethenamine",CC1CC=C(C=C1)C(C2=CC(=NC2)C(=C)NCC3CCSC3)F,0.09,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/134390188,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,145054869,"1,1,1-Trifluoro-4-[4-(4-hexyl-2,3-dihydrothiophen-5-yl)-1,2-dihydropyridin-6-yl]-4-iminobut-2-en-2-amine",CCCCCCC1=C(SCC1)C2=CCNC(=C2)C(=N)C=C(C(F)(F)F)N,0.09,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/145054869,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123728684,"N-methyl-4-thiomorpholin-4-ylcyclohexa-2,4-dien-1-amine",CNC1CC=C(C=C1)N2CCSCC2,0.09,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123728684,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,89205069,"7-(2,5-Dimethyl-1,2-dihydropyridin-6-yl)-3-(5-methyl-1,2-dihydropyridin-6-yl)-5-methylidene-6,7-dihydro-1,4,2,6-dithiadiazepine",CC1C=CC(=C(N1)C2NC(=C)SC(=NS2)C3=C(C=CCN3)C)C,0.086,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/89205069,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,124002870,2-(1-methyl-2H-pyridin-4-yl)ethyl propanimidothioate,CCC(=N)SCCC1=CCN(C=C1)C,0.086,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/124002870,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,129238752,"(8E)-3-[[4-methyl-5-[(Z)-prop-1-enyl]-2H-pyridin-1-yl]methyl]-N,2-bis(propa-1,2-dienyl)-8-propylidene-5-thia-1-azabicyclo[4.2.0]oct-2-en-7-amine",CC/C=C/1\C(C2N1C(=C(CS2)CN3CC=C(C(=C3)/C=C\C)C)C=C=C)NC=C=C,0.084,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/129238752,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,20519179,"9-oxido-N-propyl-5,12-dithia-3-aza-9-azoniatetracyclo[7.7.1.02,6.013,17]heptadeca-1,3,6,13(17),14-pentaen-15-amine",CCCNC1=CC2=C3C(=C4C(=CC[N+]3(CCS2)[O-])SC=N4)C1,0.082,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/20519179,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,143683757,"(3E)-N-[(3-tert-butyl-1-fluoro-1-methyl-2H-thiopyran-5-yl)methyl]-3-methylpenta-1,3-dien-2-amine",C/C=C(\C)/C(=C)NCC1=CS(CC(=C1)C(C)(C)C)(C)F,0.08,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/143683757,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,20519182,"N-butyl-9-oxido-5,12-dithia-3-aza-9-azoniatetracyclo[7.7.1.02,6.013,17]heptadeca-1,3,6,13(17),14-pentaen-15-amine",CCCCNC1=CC2=C3C(=C4C(=CC[N+]3(CCS2)[O-])SC=N4)C1,0.08,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/20519182,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,59986413,"N,2-dimethyl-3a,7a-dihydro-1,3-benzothiazol-5-amine",CC1=NC2C=C(C=CC2S1)NC,0.078,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/59986413,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,88757708,"N-[2-(3aH-[1,3]thiazolo[5,4-c]isoquinolin-4-yl)ethyl]butan-1-amine",CCCCNCCN1C=C2C=CC=CC2=C3C1SC=N3,0.078,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/88757708,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,89129886,"(2E,3E)-3-(2-methylpropylidene)-2-prop-2-enylidenethiomorpholine",CC(C)/C=C/1\C(=C/C=C)\SCCN1,0.077,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/89129886,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,91264110,"N,2-dimethyl-3a,6-dihydro-1,3-benzothiazol-5-amine",CC1=NC2C=C(CC=C2S1)NC,0.077,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/91264110,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,88266701,(1E)-1-[(2E)-2-prop-2-enylidenethiomorpholin-3-ylidene]propan-2-amine,CC(/C=C/1\C(=C/C=C)\SCCN1)N,0.075,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/88266701,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,134856045,"(5Z)-2-cyclohexa-2,5-dien-1-ylidene-1-(2-ethylsulfanylethyl)-5-(ethylsulfanylmethylidene)pyrrole",CCSCCN1/C(=C\SCC)/C=CC1=C2C=CCC=C2,0.069,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/134856045,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,137247859,"3-[[6-(2-fluoro-3-methylbutyl)sulfanyl-1,5-dimethyl-2H-pyridin-3-yl]methyliminomethyl]-N,2-dimethyl-1,4-dihydropyridin-4-amine",CC1=C(N(CC(=C1)CN=CC2=C(NC=CC2NC)C)C)SCC(C(C)C)F,0.057,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/137247859,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,138711346,"5-[(E)-3-[[(2E,4Z)-1,6-difluorohepta-2,4,6-trien-3-yl]amino]prop-1-enyl]-N-methyl-1,1-dioxo-N-[(2E)-penta-2,4-dien-2-yl]-3,6-dihydro-2H-thiopyran-4-amine",C/C(=C\C=C)/N(C)C1=C(CS(=O)(=O)CC1)/C=C/CN/C(=C/CF)/C=C\C(=C)F,0.057,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/138711346,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123212152,"1-(4-Butylidene-5-methyl-1,3-thiazol-2-yl)-2-methylpent-2-en-1-amine",CCCC=C1C(SC(=N1)C(C(=CCC)C)N)C,0.057,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123212152,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,70316681,"Methyl 4-amino-2-ethenyl-6-methyl-1,2,3,6-tetrahydropyridine-5-carboximidothioate",CC1C(=C(CC(N1)C=C)N)C(=N)SC,0.048,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/70316681,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,89207413,"2-[(1Z)-3-(2,4-dimethyl-2,3-dihydro-1,3-thiazol-5-yl)buta-1,3-dienyl]guanidine",CC1NC(=C(S1)C(=C)/C=C\N=C(N)N)C,0.048,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/89207413,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,176538841,"7-ethenyl-5-[4-[2-ethyl-4-[(1E)-2-fluorobuta-1,3-dienyl]-1,2-dihydropyridin-6-yl]penta-1,2,4-trienyl]-2-[(5E,7Z,10Z)-7-[(E)-2-fluoroethenyl]-3,5,8-trimethyldodeca-2,5,7,10-tetraenyl]-4-methyl-3-propyl-7H-1,4-thiazepine",CCCC1=C(SC(C=C(N1C)C=C=CC(=C)C2=CC(=CC(N2)CC)/C=C(\C=C)/F)C=C)CC=C(C)C/C(=C/C(=C(\C)/C/C=C\C)/C=C/F)/C,0.043,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/176538841,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,129067284,"(3Z)-4-[3-[tert-butyl(methyl)amino]propylsulfanyl]-3-(methylideneamino)-N-[2-[[(2Z)-2-methyl-4-methylidenehexa-2,5-dienylidene]amino]ethyl]buta-1,3-dien-2-amine",C/C(=C/C(=C)C=C)/C=NCCNC(=C)/C(=C/SCCCN(C)C(C)(C)C)/N=C,0.038,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/129067284,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123375924,[2-(methylamino)-3-methylidenepent-4-enyl] N-prop-1-en-2-ylmethanimidothioate,CC(=C)N=CSCC(C(=C)C=C)NC,0.037,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123375924,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123489602,"methyl N-(ethylaminomethyl)-2-[ethyl(octa-3,5-dien-3-yl)amino]ethanimidothioate",CCC=CC=C(CC)N(CC)CC(=NCNCC)SC,0.033,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123489602,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123544689,"N-hexa-2,4-dien-3-yl-2,9-dimethyl-8-propan-2-ylsulfanyl-N-propyldeca-1,3,5,8-tetraen-4-amine",CCCN(C(=CC)C=CC)C(=CC(=C)C)C=CCC(=C(C)C)SC(C)C,0.032,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123544689,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,IN-2 (内部参考配体),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,123224812,3-Methanimidoylpent-2-enyl-[3-methyl-1-[2-(prop-1-enylamino)ethylsulfanyl]butylidene]-(2-methylpropyl)azanium,CCC(=CC[N+](=C(CC(C)C)SCCNC=CC)CC(C)C)C=N,0.031,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/123224812,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,WSA236 (最强AB喹啉),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,358326,"5,19-Dithia-2,8,16,22-tetrazatricyclo[21.5.0.09,15]octacosa-1,8,10,12,14,23,25,27-octaene",C1CSCCNC2=CC=CC=CC2=NCCSCCN=C3C=CC=CC=C3N1,0.192,55,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/358326,NSC618290/CHEMBL2006515; PubChem 55个assay全为Inactive(NCI60等) — 可作阴性参照
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,WSA236 (最强AB喹啉),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,148397599,"US10660877, Example 56",CC1=CC(=C2C(=C3C=C(C=CC3=N2)C4CCNCC4)C(C)C)C=C(N1O)C,0.158,3,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/148397599,"US10660877专利Example 56; 3个专利reporter inhibition assay Active(0.0046-0.804 μM), 非ATP合酶靶点"
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,WSA236 (最强AB喹啉),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,137289138,"(3Z)-3-ethylidene-5-[2-[2-[(4-fluoropiperidin-1-yl)methyl]-2,3-dihydrothiophen-5-yl]ethynyl]-N-prop-2-enyl-1H-pyrrol-2-imine",C/C=C\1/C=C(NC1=NCC=C)C#CC2=CCC(S2)CN3CCC(CC3)F,0.144,not_checked,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/137289138,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,WSA236 (最强AB喹啉),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,142189186,"2-(3-Methyl-6-propyl-2,3-dihydropyridin-4-yl)-4,5-dihydro-1,3-thiazole;2-methyl-7-(trifluoromethyl)cyclohepta-1,3-diene;prop-1-ene",CCCC1=NCC(C(=C1)C2=NCCS2)C.CC=C.CC1=CC(CCC=C1)C(F)(F)F,0.14,not_checked,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/142189186,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,WSA236 (最强AB喹啉),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,130371239,"[5-[1-[4-[2-(2-Ethyl-5-fluorocyclohepta-1,3-dien-1-yl)-4-methylpentyl]piperidin-1-yl]ethenyl]cyclohepta-1,4,6-trien-1-yl]-dimethyl-(2-methylpropyl)-lambda4-sulfane",CCC1=C(CCC(C=C1)F)C(CC2CCN(CC2)C(=C)C3=CCC=C(C=C3)S(C)(C)CC(C)C)CC(C)C,0.136,not_checked,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/130371239,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,WSA236 (最强AB喹啉),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,134390188,"1-[3-[fluoro-(4-methylcyclohexa-1,5-dien-1-yl)methyl]-2H-pyrrol-5-yl]-N-(thiolan-3-ylmethyl)ethenamine",CC1CC=C(C=C1)C(C2=CC(=NC2)C(=C)NCC3CCSC3)F,0.136,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/134390188,仅相似性检索命中；生物活性未核实
quarantine,False,No measured ATP-synthase or antibacterial endpoint; similarity was low and not reproducible against supplied internal anchor structures,WSA236 (最强AB喹啉),IN-2为项目内部参考配体(结构公开于ACS Infect Dis 2023); WSA236/WSA288为公开SAR系列成员,70248787,"2-Cyclopropyl-4-methyl-5-[5-(trifluoromethyl)cyclohexa-2,4-dien-1-yl]-2,3-dihydro-1,3-thiazole",CC1=C(SC(N1)C2CC2)C3CC(=CC=C3)C(F)(F)F,0.135,0,unknown,unknown,https://pubchem.ncbi.nlm.nih.gov/compound/70248787,仅相似性检索命中；生物活性未核实
